cell_type,direction,program,rank_selected,myAUC,log2_fc_in_vs_out,pct_in,pct_out,mean_jaccard_vs_peers_celltype
Large-artery,enriched,Program_57,1,0.893,5.999,0.830,0.178,0.100
Large-artery,enriched,Program_65,2,0.835,5.524,0.728,0.158,0.145
Large-artery,enriched,Program_63,3,0.812,4.541,0.725,0.243,0.118
Large-artery,enriched,Program_70,4,0.810,6.836,0.687,0.184,0.082
Large-artery,enriched,Program_41,5,0.742,2.688,0.656,0.279,0.067
Large-artery,enriched,Program_78,6,0.725,3.238,0.590,0.233,0.024
Large-artery,enriched,Program_68,7,0.719,3.766,0.551,0.190,0.130
Large-artery,depleted,Program_8,1,0.164,-3.790,0.235,0.771,0.039
Large-artery,depleted,Program_6,2,0.177,-4.718,0.112,0.706,0.022
Large-artery,depleted,Program_9,3,0.194,-3.441,0.258,0.731,0.041
Large-artery,depleted,Program_18,4,0.213,-2.666,0.287,0.748,0.025
Large-artery,depleted,Program_4,5,0.218,-3.657,0.209,0.686,0.036
Large-artery,depleted,Program_5,6,0.241,-2.879,0.306,0.702,0.033
Large-artery,depleted,Program_11,7,0.256,-4.393,0.134,0.562,0.034
Large-artery,depleted,Program_16,8,0.268,-2.837,0.283,0.655,0.031
Large-artery,depleted,Program_13,9,0.282,-2.330,0.381,0.684,0.029
Large-artery,depleted,Program_15,10,0.297,-2.313,0.347,0.649,0.040
Cycling artery,enriched,Program_78,1,0.987,6.162,0.983,0.243,0.035
Cycling artery,enriched,Program_67,2,0.845,5.079,0.785,0.333,0.049
Cycling artery,enriched,Program_63,3,0.784,3.044,0.703,0.259,0.087
Cycling artery,enriched,Program_62,4,0.780,4.690,0.701,0.382,0.047
Cycling artery,enriched,Program_38,5,0.761,2.525,0.715,0.358,0.059
Cycling artery,enriched,Program_65,6,0.744,2.954,0.600,0.178,0.086
Cycling artery,enriched,Program_68,7,0.720,2.335,0.583,0.202,0.093
Cycling artery,enriched,Program_34,8,0.718,1.589,0.738,0.461,0.031
Cycling artery,depleted,Program_12,1,0.150,-2.262,0.307,0.863,0.002
Cycling artery,depleted,Program_1,2,0.151,-1.709,0.522,0.945,0.002
Cycling artery,depleted,Program_8,3,0.154,-3.291,0.162,0.754,0.023
Cycling artery,depleted,Program_9,4,0.163,-3.590,0.095,0.716,0.021
Cycling artery,depleted,Program_6,5,0.171,-3.807,0.044,0.687,0.018
Cycling artery,depleted,Program_10,6,0.173,-2.254,0.245,0.802,0.001
Cycling artery,depleted,Program_4,7,0.197,-3.424,0.120,0.670,0.025
Cycling artery,depleted,Program_18,8,0.200,-2.165,0.201,0.733,0.014
Cycling artery,depleted,Program_13,9,0.217,-2.503,0.172,0.675,0.021
Cycling artery,depleted,Program_17,10,0.233,-3.138,0.083,0.592,0.010
Capillary,enriched,Program_6,1,0.872,1.859,0.979,0.608,0.038
Capillary,enriched,Program_9,2,0.768,1.234,0.943,0.655,0.036
Capillary,enriched,Program_4,3,0.725,0.876,0.918,0.603,0.047
Capillary,enriched,Program_8,4,0.714,0.953,0.914,0.709,0.042
Peri-arterial capillary,enriched,Program_15,1,0.884,2.142,0.963,0.570,0.064
Peri-arterial capillary,enriched,Program_4,2,0.814,1.737,0.931,0.614,0.037
Peri-arterial capillary,enriched,Program_5,3,0.802,1.590,0.925,0.638,0.037
Peri-arterial capillary,enriched,Program_3,4,0.750,1.149,0.925,0.705,0.028
Tip-like: Pre-artery,enriched,Program_11,1,0.906,2.625,0.963,0.483,0.050
Tip-like: Pre-artery,enriched,Program_16,2,0.844,2.040,0.933,0.597,0.039
Tip-like: Pre-artery,enriched,Program_47,3,0.738,2.263,0.694,0.325,0.053
Tip-like: angiogenic,enriched,Program_21,1,0.875,3.063,0.895,0.444,0.070
Tip-like: angiogenic,enriched,Program_17,2,0.853,2.370,0.901,0.545,0.053
Tip-like: angiogenic,enriched,Program_27,3,0.829,3.229,0.800,0.328,0.113
Tip-like: angiogenic,enriched,Program_48,4,0.805,4.646,0.716,0.230,0.088
Tip-like: angiogenic,enriched,Program_55,5,0.777,4.041,0.674,0.220,0.121
Tip-like: angiogenic,enriched,Program_54,6,0.772,3.805,0.658,0.202,0.093
Tip-like: angiogenic,depleted,Program_3,1,0.250,-2.080,0.507,0.778,0.020
Tip-like: angiogenic,depleted,Program_4,2,0.261,-2.617,0.400,0.708,0.020
Tip-like: angiogenic,depleted,Program_5,3,0.278,-2.143,0.455,0.722,0.015
Choroid-plexus,enriched,Program_53,1,0.941,7.186,0.908,0.221,0.237
Choroid-plexus,enriched,Program_64,2,0.893,6.460,0.836,0.236,0.211
Choroid-plexus,enriched,Program_58,3,0.869,6.721,0.801,0.258,0.176
Choroid-plexus,enriched,Program_75,4,0.808,6.971,0.684,0.190,0.178
Choroid-plexus,depleted,Program_6,1,0.175,-4.340,0.089,0.701,0.023
Choroid-plexus,depleted,Program_9,2,0.204,-3.217,0.240,0.727,0.032
Choroid-plexus,depleted,Program_8,3,0.218,-2.476,0.352,0.762,0.029
Choroid-plexus,depleted,Program_18,4,0.220,-2.484,0.283,0.743,0.021
Choroid-plexus,depleted,Program_5,5,0.227,-3.013,0.233,0.700,0.031
Choroid-plexus,depleted,Program_3,6,0.258,-1.897,0.397,0.753,0.019
Choroid-plexus,depleted,Program_4,7,0.268,-2.362,0.297,0.679,0.031
Choroid-plexus,depleted,Program_16,8,0.272,-2.464,0.276,0.651,0.028
Choroid-plexus,depleted,Program_15,9,0.273,-2.439,0.287,0.648,0.044
Choroid-plexus,depleted,Program_46,10,0.284,-1.803,0.272,0.656,0.018
Cycling,enriched,Program_66,1,0.806,5.084,0.740,0.321,0.103
Cycling,enriched,Program_62,2,0.805,4.975,0.747,0.363,0.125
Cycling,enriched,Program_52,3,0.790,3.945,0.792,0.558,0.081
Cycling,enriched,Program_28,4,0.774,2.135,0.835,0.633,0.011
Cycling,enriched,Program_69,5,0.763,4.937,0.691,0.386,0.123
Cycling,enriched,Program_67,6,0.741,5.496,0.636,0.318,0.118
Cycling,enriched,Program_49,7,0.731,3.649,0.700,0.463,0.101
Cycling,depleted,Program_1,1,0.253,-0.965,0.771,0.953,0.000
Cycling,depleted,Program_5,2,0.286,-2.319,0.456,0.701,0.000
Arteriole,enriched,Program_20,1,0.893,3.235,0.900,0.394,0.098
Arteriole,enriched,Program_38,2,0.876,4.345,0.837,0.291,0.059
Arteriole,enriched,Program_34,3,0.842,3.075,0.837,0.409,0.063
Arteriole,enriched,Program_41,4,0.830,3.951,0.760,0.226,0.073
Arteriole,enriched,Program_30,5,0.794,2.705,0.781,0.387,0.075
Arteriole,enriched,Program_3,6,0.734,1.163,0.888,0.723,0.021
Arteriole,enriched,Program_51,7,0.716,3.128,0.605,0.253,0.080
Arteriole,depleted,Program_9,1,0.264,-2.094,0.482,0.747,0.034
Arteriole,depleted,Program_17,2,0.280,-2.954,0.304,0.631,0.023
Arteriole,depleted,Program_6,3,0.288,-2.219,0.483,0.714,0.039
Arteriole,depleted,Program_8,4,0.294,-1.577,0.592,0.775,0.022
Arteriole,depleted,Program_26,5,0.298,-3.002,0.242,0.560,0.044
Venous,enriched,Program_42,1,0.865,4.911,0.806,0.220,0.128
Venous,enriched,Program_22,2,0.819,3.345,0.801,0.411,0.095
Venous,enriched,Program_56,3,0.761,4.631,0.629,0.202,0.079
Venous,enriched,Program_45,4,0.752,3.538,0.659,0.285,0.075
Venous,enriched,Program_32,5,0.748,2.388,0.762,0.484,0.042
Venous,depleted,Program_11,1,0.255,-3.837,0.181,0.596,0.036
Venous,depleted,Program_5,2,0.257,-2.553,0.432,0.722,0.035
Venous,depleted,Program_9,3,0.262,-1.839,0.437,0.751,0.040
Venous,depleted,Program_15,4,0.281,-2.489,0.371,0.674,0.049
Venous,depleted,Program_8,5,0.292,-1.413,0.524,0.782,0.034
Venous,depleted,Program_3,6,0.296,-1.645,0.552,0.769,0.013
